item_id,order_id,product_id,quantity,unit_price,discount_percent
166,38,473,4,1258.09,19.44
167,20,11,3,2759.7,32.71
168,384,476,4,339.39,65.7
169,366,449,2,909.51,16.14
170,430,19,5,953.02,53.47
171,201,173,1,132.51,27.33
172,226,367,2,199.89,67.5
173,111,453,1,2453.38,64.1
174,367,106,4,1387.56,59.82
175,25,387,2,1186.47,23.85
176,47,17,-4,142.22,82.05
177,349,65,2,380.15,83.54
178,341,172,2,1586.25,81.56
179,166,576,2,2809.55,39.51
180,220,124,2,1134.07,17.36
181,206,324,1,1430.45,6.6
182,418,286,5,295.26,21.86
183,155,512,1,2394.65,92.22
184,292,176,3,1839.61,98.14
185,357,398,2,1942.53,88.4
186,163,494,1,1864.75,58.5
187,196,524,2,2143.42,1.33
188,11,128,3,1342.64,24.35
189,41,62,2,960.18,15.17
190,105,39,2,1834.42,94.59
191,379,337,2,1966.45,76.05
192,267,425,3,764.13,73.29
193,176,249,2,2729.23,66.5
194,128,228,5,1612.27,18.35
195,323,7,1,302.96,19.25
196,325,145,2,603.66,54.88
197,408,210,2,1336.1,46.71
198,85,203,2,1856.97,30.31
199,296,460,2,2365.74,8.0
200,498,369,4,1465.07,42.27
201,313,444,2,2401.32,1.98
202,196,438,1,2772.44,59.52
203,79,567,2,1444.59,45.36
204,193,576,5,1066.38,71.49
205,101,159,-2,2598.8,73.04
206,192,504,4,2826.83,97.05
207,192,394,4,2963.81,7.12
208,454,40,1,1740.26,19.42
209,224,262,3,1517.0,68.85
210,357,60,4,2233.43,24.24
211,18,371,1,1971.47,26.13
212,234,151,3,1777.19,66.26
213,83,13,1,1968.75,91.69
214,204,83,5,2640.42,16.58
215,219,259,3,1646.28,88.67
216,301,316,4,2780.53,86.94
217,56,587,3,880.16,20.95
218,384,408,-3,588.36,49.17
219,50,72,4,1998.11,73.3
220,88,181,3,489.56,48.65
221,258,113,4,716.46,20.09
222,384,188,2,2716.59,40.88
223,321,112,2,348.55,12.47
224,33,351,1,1485.9,67.28
225,52,10,1,2870.12,66.53
226,405,43,1,2396.18,37.57
227,267,273,4,1077.39,42.95
228,190,352,3,2828.87,66.51
229,194,59,3,2438.18,0.31
230,446,412,-2,456.39,53.06
231,487,255,3,2089.94,86.99
232,264,424,-2,1950.41,94.19
233,165,18,3,2911.83,73.58
234,348,455,2,1260.48,61.26
235,42,357,4,2830.29,47.61
236,338,103,4,665.72,14.32
237,267,586,5,1543.98,8.71
238,427,562,4,1394.23,11.57
239,340,554,2,594.26,94.42
240,359,92,1,2175.72,16.02
241,476,335,4,739.09,25.76
242,244,127,2,1937.29,49.2
243,408,341,2,2322.38,60.07
244,330,352,4,2254.61,72.5
245,335,576,4,748.3,11.57
246,45,115,1,1817.38,18.82
247,483,119,5,2574.66,95.41
248,296,2,3,1653.25,84.71
249,217,328,3,2808.38,12.63
250,340,228,1,1661.05,46.06
251,75,304,2,1421.78,60.15
252,75,36,5,1556.9,68.86
253,141,588,4,725.54,29.15
254,495,386,1,1066.12,82.79
255,108,231,1,2350.51,85.68
256,373,402,3,2011.83,84.85
257,12,562,4,2065.91,99.03
258,388,401,4,2207.59,28.24
259,473,200,5,479.61,75.23
260,298,56,3,574.71,13.76
261,357,495,3,708.32,80.44
262,101,10,3,1769.48,67.83
263,440,152,4,1338.62,84.17
264,475,58,1,1474.24,94.51
265,61,528,3,2912.21,62.7
266,207,251,1,1250.27,30.27
267,306,177,4,2974.38,67.07
268,46,475,4,1994.27,36.73
269,62,120,1,1960.09,90.85
270,116,24,5,1760.63,27.37
271,382,97,5,1504.16,64.46
272,223,306,5,1043.16,71.38
273,442,551,2,2132.15,39.38
274,419,550,5,1604.81,58.47
275,366,128,2,2703.05,18.07
276,307,185,1,2421.49,12.3
277,66,589,2,354.68,25.68
278,386,36,1,1567.83,36.36
279,279,176,4,2008.66,24.83
280,24,532,3,1390.27,57.71
281,356,321,5,2990.71,60.62
282,262,215,1,229.73,3.67
283,73,307,2,1846.22,21.6
284,184,285,2,1323.84,54.98
285,134,391,2,341.44,25.42
286,218,147,5,1925.75,26.94
287,325,198,3,1978.54,51.14
288,84,430,2,2384.57,37.89
289,494,254,1,1641.26,68.4
290,209,68,3,1152.18,33.35
291,140,150,2,384.05,97.95
292,114,388,1,458.16,52.65
293,449,314,5,1519.89,52.9
294,359,586,3,1861.65,89.66
295,88,326,4,2437.65,67.78
296,404,545,5,2563.93,47.69
297,66,266,1,2168.35,65.76
298,74,388,5,253.31,72.54
299,499,380,2,1312.91,45.78
300,225,363,4,899.89,42.78
301,483,235,3,352.13,30.57
302,395,321,1,322.41,24.0
303,48,170,5,2255.89,55.42
304,253,11,4,2804.08,13.64
305,255,528,5,1275.87,61.63
306,467,8,4,2274.04,24.42
307,379,541,5,1401.09,16.85
308,477,537,2,1164.45,13.33
309,181,53,4,594.4,96.97
310,174,256,5,2587.64,29.01
311,248,301,3,2240.27,56.88
312,112,313,5,202.74,46.31
313,317,500,1,1885.04,32.86
314,182,110,1,2195.06,40.21
315,5,104,4,345.76,51.43
316,79,421,1,120.04,76.94
317,129,232,4,967.93,42.83
318,94,550,3,1371.86,83.94
319,83,144,3,116.85,88.36
320,364,204,1,216.74,39.45
321,381,340,1,677.08,47.93
322,341,273,1,1695.36,79.98
323,366,131,3,2362.98,39.99
324,372,399,2,412.85,2.12
325,80,353,-5,2084.87,5.2
326,425,351,4,2238.55,43.43
327,149,289,4,1343.96,61.76
328,374,524,2,2323.51,86.42
329,359,254,4,2148.74,81.0
330,359,515,5,2978.4,59.12
331,325,153,2,1263.72,27.39
332,99,150,-4,678.97,86.44
333,195,418,5,1936.6,23.14
334,173,437,4,1338.51,5.17
335,57,276,3,1117.97,41.81
336,164,49,2,251.18,74.48
337,109,293,4,1858.91,43.09
338,130,504,3,423.43,66.89
339,350,566,2,2249.75,36.14
340,399,542,5,1985.72,21.0
341,197,90,1,2253.5,12.04
342,301,196,2,2783.95,7.49
343,280,352,3,2969.97,20.2
344,370,158,1,1312.82,71.16
345,457,574,3,1400.6,71.73
346,467,447,1,1618.91,95.24
347,405,23,2,2120.45,12.89
348,24,580,1,2112.03,74.07
349,204,507,5,2917.46,16.55
350,385,522,4,1231.72,60.72
351,106,189,1,731.64,69.67
352,451,526,4,2189.68,25.88
353,437,226,3,1701.24,17.11
354,24,547,2,1954.88,94.2
355,143,137,3,249.41,98.0
356,422,216,5,1981.07,63.27
357,498,378,3,2145.84,54.93
358,370,137,4,955.2,98.53
359,321,11,3,2899.16,17.67
360,498,17,5,2617.15,93.9
361,299,109,4,846.3,62.62
362,310,565,2,739.85,26.88
363,298,405,2,2216.45,43.39
364,76,491,1,1432.23,81.56
365,91,194,5,2215.49,64.76
366,11,318,2,2470.75,68.74
367,97,72,2,811.24,90.91
368,497,413,1,498.14,75.04
369,7,103,4,419.1,1.36
370,426,45,2,342.43,14.26
371,322,14,1,408.38,73.61
372,174,88,2,2303.05,89.24
373,418,168,3,548.09,5.59
374,355,274,5,2492.28,10.28
375,152,106,5,1304.33,0.12
376,115,25,2,527.39,65.54
377,116,394,1,2973.23,22.45
378,490,289,3,1067.8,36.05
379,474,87,1,616.4,53.05
380,308,186,4,2035.09,30.16
381,419,294,3,886.17,49.93
382,189,272,1,2598.97,97.8
383,399,151,3,1395.42,79.69
384,500,490,1,1339.61,72.67
385,75,93,3,627.43,38.5
386,164,507,4,2921.26,60.17
387,326,342,2,1996.47,24.59
388,215,563,4,1528.54,53.62
389,118,394,1,1323.34,57.79
390,356,225,1,108.31,99.39
391,9,372,5,487.42,11.02
392,467,358,3,2613.64,81.9
393,151,472,2,1699.35,93.13
394,216,249,2,262.01,13.78
395,493,147,4,2118.76,42.47
396,28,109,5,2528.57,87.05
397,16,151,3,810.63,1.25
398,426,427,2,1462.32,14.01
399,271,307,4,1078.28,78.14
400,356,14,3,274.0,64.25
401,310,178,5,1249.53,42.36
402,486,466,5,848.36,57.21
403,157,233,4,888.3,9.19
404,194,129,2,262.39,39.23
405,422,573,5,2468.02,46.84
406,161,415,4,2429.68,64.66
407,100,277,1,1151.83,77.88
408,172,29,2,1670.55,6.53
409,306,12,3,685.01,92.92
410,124,276,1,1737.91,56.37
411,405,496,1,370.31,30.86
412,183,290,4,1011.97,39.06
413,183,133,1,2699.88,50.36
414,258,154,1,1208.12,58.64
415,437,39,3,2078.88,7.88
416,321,96,2,2441.68,65.42
417,394,165,5,2213.29,65.14
418,477,350,4,1083.16,36.03
419,439,442,1,2345.11,38.76
420,107,77,2,2983.77,9.74
421,8,147,3,2909.95,78.14
422,45,511,1,592.18,29.56
423,35,287,5,358.76,17.92
424,396,472,3,2937.6,76.31
425,227,144,1,1515.95,36.35
426,147,411,4,2759.71,12.9
427,188,525,5,1183.68,68.22
428,260,461,3,2974.62,4.27
429,330,59,2,1726.32,15.46
430,54,298,4,1257.91,7.3
431,199,474,1,1458.62,53.51
432,419,477,1,2222.16,91.75
433,473,407,4,1053.29,31.73
434,310,498,2,1481.04,27.84
435,20,559,2,521.99,21.35
436,291,33,5,280.96,80.85
437,405,441,4,713.33,2.29
438,389,434,3,610.71,14.17
439,141,415,1,2165.4,87.13
440,269,220,3,255.85,89.5
441,220,351,3,1112.9,41.91
442,244,549,2,1366.67,91.26
443,293,399,1,2691.96,19.86
444,371,593,5,2025.78,82.35
445,376,325,1,1430.11,14.75
446,443,325,1,2054.44,26.28
447,370,4,4,2586.07,63.43
448,328,593,1,2262.55,18.77
449,357,560,2,726.8,20.98
450,98,591,1,1155.0,30.19
451,158,515,1,1981.84,45.6
452,211,361,3,1334.96,97.41
453,172,117,2,1182.05,55.28
454,84,556,4,2550.77,68.86
455,224,291,5,2727.06,9.92
456,45,107,1,1887.16,41.13
457,255,558,1,1559.75,80.59
458,342,297,4,2352.95,55.16
459,59,201,4,1116.78,79.38
460,238,423,-4,1186.47,22.39
461,146,275,3,2717.75,90.93
462,345,248,1,1302.21,1.55
463,79,384,5,1839.84,33.51
464,492,586,4,2923.12,19.27
465,330,403,1,1775.78,12.89
466,326,400,2,1022.56,15.84
467,119,102,2,1931.18,78.43
468,432,267,5,1034.97,9.33
469,14,448,1,1820.54,2.78
470,363,557,1,173.34,73.42
471,233,367,2,2703.94,29.69
472,275,252,4,2011.85,27.5
473,479,148,1,1780.13,10.34
474,236,126,1,859.78,18.06
475,40,507,3,703.12,10.07
476,408,23,4,2881.73,7.63
477,352,430,4,1937.3,45.09
478,83,185,-3,618.16,56.73
479,311,33,1,2981.84,48.39
480,315,560,1,2250.92,92.66
481,99,31,-5,1584.06,15.23
482,444,374,1,185.54,13.86
483,43,130,3,677.79,9.2
484,363,565,3,2446.13,43.61
485,485,410,2,673.84,84.6
486,368,288,4,2400.14,58.76
487,85,211,4,1393.86,59.63
488,140,327,5,1210.83,19.97
489,181,383,1,2679.4,95.81
490,130,420,3,2644.03,95.04
491,272,361,-4,621.72,32.27
492,405,191,3,724.03,37.17
493,75,322,-1,2096.05,71.68
494,110,477,5,2706.36,56.16
495,198,291,5,730.64,56.1
496,367,77,5,1323.08,75.62
497,163,328,2,2427.9,49.87
498,141,432,1,596.31,32.69
499,197,243,-5,151.73,78.33
500,295,5,4,2540.76,40.28
